"Y","mol","Structure (Fingerprint)"
0.000788,"CCNc1nc(C)c2cc(-c3cnc(OC)c(F)c3)c(=O)n([C@H]3CC[C@H](O)CC3)c2n1","0100100000100000000000000000000001000000000000010000000000000000000000000000000000000010100000000100000000000000010000010000000001000000010000000000100000000000000000000000001000001010000000001000000000000101000000001100010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001001100100000000000000000000001000000000000000000000100000000000000000000000010000000000000000000000000000000000100000000000000001000000000010001000000000000000000000000000000000000000000000110000001000000000000000000000000000000000000000010000000000000000000000000000000000100000000000000000000000000100000000100000000000001000000000000000000000100010000000000000100011000000000000000000100000000000010000001000000000000000000000000000000000000000000000000010000000000100000000000000000000000100100000000000000000000000000000000000000000000000000000000100000000010010000000100000000000000000000000000000000000100000000000100000000000000000000000000000000000000010000011000000000000000000000000000000000"
0.000831,"CC1(C)OCCn2c1cc1c(N3CCOCC3)nc(-c3cnc(N)nc3)nc12","0000001101000000000000000000000000000000000000000000000000000000000000000100000000000000100000010100000000000000000000000000000000000000000000000000100000000000100000000000001000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000100000000000000000000010000100000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000010000000000010000000000000000000000000000000000000010000000010000001000000010000000000000010100100000000001000000010100000000000000000000000001001000000000000000010000100010000000000000000001010100001000000000000000000000000000000000000000000000110000000000000000000000000010000000000100000000010000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000010000010000000000000001000000000000000000000000000001000000000000000000000001000000000000000000000001001000000000000000000000000000000000"
0.000989,"COc1cc(-c2cc3c(C)nc(N)nc3n(C3CCCC3)c2=O)ccc1O","0100100000100000000000000000000000000000000000010000001000000000000000000000010000000000100000000100000000000000000000000000000100100100010000000000100000000000000000000000001000100010000000001000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000100100000000000000000000001000000000000000000000100000000000000000000000000000000000100000000000000000000000000000010000100000000000000000000000000000000000000000000000000000000000000000100000001000000000000000000000000000000000000000000000000000010000000000000000010000000000000000000000010000000000000000000000000000001000000000000000000000100010000000000000000001000000000100000000100000000000010000000000010000000000000000000000000000000000000001000010000000000000000000000000001000000100100000000000000000000000000000000000000000000000000000000101001000010010000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000010000001000000000000000000000000000010000"
0.001,"CS(=O)(=O)N1CCN(Cc2cn3cc(-c4cnc(N)nc4)nc(N4CCOCC4)c3n2)CC1","0000000001000000000000000000000000000000000100000000001001000000000010000100000000000000100000000100000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000001000000000000000000000000000000000000000000000010000000000000000100100000000000000000000001000000000010000010000000000000000000000000000000100000000000000000001000000000000000100000100000000000000000000000000000000000000000000000000000000000000001000000000000010000000000000000000000000000000000000000000000010000000000010000000000000000000000000000000000000000000000110000001000100010000000000000010000100000001001000000010100000000000000000000000001001000000000000100001000100000100000000000010000000100000000000000000000000000000000000000000000000001000000000010000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000010000001000000000010000010000000000000000000000000000000000000000000001000100000100000000000000000000000000000000000000001000000000000000000000000000000000"
0.001,"CC1(C)OCCc2c1sc1c(N3CCOCC3)nc(-c3cnc(N)nc3)nc21","0000001001000000000000000000000000000000000001000000010000000000000000000100000000000000100000000100000000100000000000000000000000000000000000000000000000000000000000000000001000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000010000000000000000000000001000100000000000000100000000000000000000010000000010000000000000000000010000000000000000000000000000000000000000000000000001000000000000000000000000000010000000000010000000000000000000000000000000000000000000000010000001000000010000000000000010000100000000001000000010100000000000000000000000001001000000000000000010000100010000000000000000000000100001000100000000000000000000000000000000000000000100000000000000000000000000010000000000000000000000000000000000000000000001000000000000000000010000000000000000000001000000010000001000000000010000110000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000001001000000000000000000000000000000000"
0.00101,"CCNc1nc(C)c2cc(-c3cccc(O)c3)c(=O)n(C3CCCC3)c2n1","0100100000100000000000000000000001000000000000010000001000000000000000000000000000000010100000000100000000000000010000000000000001000100010000000000100000000000000000000000001000000000000000001000000000000000000000001000000000000000000000000000000000000000000000000000000000000010000000010000000001000000000000000000000001000100000000000000000000000001000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000100000000000000000001000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000001001000000000000000000000100010000000000000000011000000000100000000100000000000010000001000000000000000000000000000000000000000000000000010000000000000000000000000000000000100100000000000000000000000000000000000000010000000000000000100000000010010000000100000000000000000000000000000000000100000000000100000000000000110000000000000000000000010000001000000000000000001000000000010000"
0.00103,"CNc1nc(C)c2cc(-c3ccc(OC)nc3)c(=O)n(C3CCCC3)c2n1","0100100000100000000000000010000000000000100000010000001000000000000000000000000000000000100000000100000000000000010000000000000101000100010000000000100000000000000000000000001000000010000000001000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000100100000000000000000000001000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000001000000000000000000000000000000000110000001000000000100000000000000000001000000000010000000000000000000000000000000001100000000000000000000010000000000000000000000000001000000000000000000000100010000000000000000001000000000000000000100100000000010000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000100100000000000000000000000000000000000000000000000010000000100000000010010000000100000000000000000000000000000000000100000000000000000000000000000000000000000000000000010000001000000000000000000000000000010000"
0.0011,"COc1ncc(-c2cc3c(C)nc(N)nc3n([C@H]3CC[C@H](O)CC3)c2=O)cc1F","0100100000100000000000000000000000000000000000010000000000000000000000000000000000000000100000000100000000000000000000010000000000100000010000000000100000000000000000000000001000001010000000001000000000000101000000001100010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100100000000000000000000001000000000000000000000100000000000000000000000010000000000000000000000000000000000100000000000000001000000000010000000000000000000000000000000000000000000000000110000001000000000000000000000000000000000000000010000000000000000000000000000010000100000000000000000010000000100000000000000000000001000000000000000000000100010000000000000100001000000000000000000100000000000010000000000010000000000000000000000000000000000000000000010000000000100000000000000001000000100100000000000000000000000000000000000000000000000000000000101000000010010000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000010000011000000000000000000000000000000000"
0.0012,"Cc1nc(N)nc2c1cc(-c1cnc3[nH]ccc3c1)c(=O)n2[C@@H]1CC[C@H](O)C1","0000100000100000000000000000000000000000000000110000000000000000000000000000000000000000100000000100000000000000000000000000000000100000010000000000100000000000000000000000001000001000000000001000000000000000000000001100010001000000000000000000000000000000000000000000000000000000000000000000000001000000000000001000000000000100000000000000000000000001000000000000000000000100000000000000000000000000000000000000000000000000000000100100000000000000000000000000000000000000000000000000000000000000000000000000000010000001100000000000000000000100100000000000000010000000000000000000000000000010000100000000000000000010000000000000000000000000000001000000000000000000000100010000000000000100001000000000000000000100001000000010000000000010000000000000000000010000000000000000000000010000000000100000000000000001000000100101000000000000000000000000000000000000000000000000000000101000000010010000000100000000000000000000000000000000000101000000000000000000000000000000000000000000000000010000001000000100000000000000000010000000"
0.0012,"Cc1nc(N)nc2c1cc(-c1cnc3[nH]ccc3c1)c(=O)n2[C@@H]1CC[C@@H](O)C1","0000100000100000000000000000000000000000000000110000000000000000000000000000000000000000100000000100000000000000000000000000000000100000010000000000100000000000000000000000001000001000000000001000000000000000000000001100010001000000000000000000000000000000000000000000000000000000000000000000000001000000000000001000000000000100000000000000000000000001000000000000000000000100000000000000000000000000000000000000000000000000000000100100000000000000000000000000000000000000000000000000000000000000000000000000000010000001100000000000000000000100100000000000000010000000000000000000000000000010000100000000000000000010000000000000000000000000000001000000000000000000000100010000000000000100001000000000000000000100001000000010000000000010000000000000000000010000000000000000000000010000000000100000000000000001000000100101000000000000000000000000000000000000000000000000000000101000000010010000000100000000000000000000000000000000000101000000000000000000000000000000000000000000000000010000001000000100000000000000000010000000"
0.0013,"CCn1nccc1NC(=O)c1cc2c(C)nc(N)nc2n([C@H]2CC[C@H](O)CC2)c1=O","0100100000100000000000000000000000000000000000010000000010000000100000000000000000000000100000000100000000000000000000000000000001100000010000000000100000000000000000000000001010000100000000001000000000000000000000001100010000000001000000000000000000000000000000000000100000000000000000000000000001000000000000000000000000000100000000000000000000000001000000000000000100000101000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000001000000000000000000000000000000000000000010000000000010000000000000000000000010000000000000000000000000000001000000000001000000000100000000000000000101001000000000000000000100000000000010000001000010000000000000000000000000000000000000000000010000000000100000000000000001010000000100000000000000000000000000000000000000000000000100000000101000000000000000000100000000000000000000000000000000000100000000000100000000000000000000000000000001000010000000011000000000000000000000000000000000"
0.0013,"Cc1nc(N)nc2c1cc(-c1cnc3[nH]ccc3c1)c(=O)n2[C@H]1CC[C@H](O)CC1","0100100000100000000000000000000000000000000000110000000000000000000000000000000000000000100000000100000000000000000000000000000000100000010000000000100000000000000000000000001000001000000000001000000000000000000000001100010000000000000000000000000000000000000000000000000000000000000000000000000001000000000000001000000000000100000000000000000000000001000000000000000000000100000000000000000000000000000000000000000000000000000000100100000000000000000000000000000000000000000000000000000000000000000000000000000010000001100000000000000000000100100000000000000010000000000000000000000000000010000100000000000000000010000000000000000000000000000001000000000000000000000100010000000000000100001000000000000000000100000000000010000000000010000000000000000000000000000000000000000000010000000000100000000000000001000000100101000000000000000000000000000000000000000000000000000000101000000010010000000100000000000000000000000000000000000101000000000000000000000000000000000000000000000000010000001000000000000000000000000010000000"
0.00137,"Nc1ncc(-c2nc(N3CCOCC3)c3nc4n(c3n2)CCC2(CC2)O4)cn1","0000000001000000000000000000000000000000000000000000000000000000000000000100000000000000100000000100000000000000000000000000000000000000000000000000000000000100000000000000001000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000010000000000000000000000000001100000000000000100000000000000000000000000100000000000000000100000000000000000000000000000000010000000000000000000000001000000000000000000000000000010000000000010000000000000000000000000000000000010010000000010000001000000010000000000000010000100000000001000000011100000000000000000000000001001000000000000000010000100010000000000000000000000100001000000000000000000000000000000000000100000000100000000000000000001000000000000000000000000000000000100000001000000000000000000000000000000000000000000000000000000000000000000001000000001010000010000000000000000000010000000000000000000000001000000000000000000000000000000000000000000001001000000000000000000000000000000000000"
0.00143,"COc1ncc(-c2cc3c(C)nc(N)nc3n(C3CCOCC3)c2=O)cc1F","0100100000100000000000000000000000000000000000010000000000000000000000000100000000000000100000000100000000000000000000010000000000100000010000000000100000000000000000000000001000001010000000001000000000000101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000001100100000000000000000000001000000000000000100000100000000000000000000000010000000000000000000000000000000000000000000000000001000000000010000000000000000000000000000000000000010000000000110000001000000000000000000000000000000000000000010000000000000000000000000000010000100000000000000000010000000100000000000000000001001000000000000000000000100010000000000000000001000000000000000000100000000000010000000000010000000000000000000000000000000000000000000010000001000000000000000000001000000100100000000000000000000000000000000000000000000000000000000101000000010010000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000010000011000000000000000000000000000000000"
0.00144,"COc1ncc(-c2cc3c(C)nc(N)nc3n([C@H]3CC[C@H](OCCO)CC3)c2=O)cc1F","0100100000100000000000000000000000000000000000010000000000000000000000000000000000000000100000000100000000000000000000010000000000100000010000000000100000000000000000000000001000001010000000001000000010000101000000001000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000001100100000000000000000000001000000000000000000000100000000000000000000000010000000000000000000000000000000000000000000000000001000000000010000000000000000000000000000000000000000000000000110000001000000000000000000000000000000100000000010000000000000000000000000000010000100000010000000000010000000100000000000000000000001000000000000000000000100010000001000000100001000000000000000000100000000000010000000000010000000000000000000000000000000000000000000010000000000000000000001000001010000100100000000000000000000000100000000000000000000000000000000101000000010010000000000000000100000000000000000000000000100000000000100000000000000000000000000000000000000010000011000000000000000000010000000000000"
0.00157,"CNc1nc(C)c2cc(-c3ccc(O)c(OC)c3)c(=O)n(C3CCCC3)c2n1","0100100000100000000000000000000000000000000000010000001000000000000000000000010000000000100000000100000000000000010000000000000101000100010000000000100000000000000000000000001000100010000000001000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000100100000000000000000000001000000000000000000000100000000000000000000000000000000000100000000000000000000000000000010000100000000000000000001000000000000000000000000000000000000000000000100000001000000000000000000000000000001000000000000000000000010000000000000000000001000000000000000000000010000000000000000000000000001000000000000000000000100010000000000000000001000000000100000000100000000000010000000000000000000000000000000000000000000000000001000010000000000000000000000000000000000100100000000000000000000000000000000000000000000000010000000100001000010010000000100000000000000000000000000000000000100000000000000000000000000000000000000000000000000010000001000000000000000000000000000010000"
0.00158,"COc1ncc(-c2cc3c(C)nc(N)nc3n([C@H]3CC[C@@H](OCC(N)=O)CC3)c2=O)cc1F","0100100000100000000000000000000000000000000100010000000000000000000000000000000000000000100000000100000000000000000000010000000000100000010000000000110000000000000000000000001000001010000000001000000010000101000000001000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000001100100000010000000000000001000000000000000000000100000000000000000000000010000000000000000000000000000000000000000000000000001000000000010000000000000000000000000000000000000000000000000110000001000000000000000000000000000000000000000010000000000000000000000000000010000100000000000000000010000000100000000000000000000001000000000000000000000100010000000000000100001000000000000000000100000000000010000000000010000000000000000000000000000000000000000000010000000000000000000000000001010000100100000000000000000000000100000000000000000000000000000000101000000110010000000000000000100000000000000000000000000100000000000100000000000000000000000000000000000000010000011000000000000000000000000000000000"
0.00159,"CCNc1nc(C)c2cc(-c3cnc(OC)nc3)c(=O)n([C@H]3CC[C@H](O)CC3)c2n1","0100100000100000000000000000000001010000000000010000000000000001000000000000000000000010100000000100000000000000010000000000000001000000010000000000100000000000000000000000001000000010000000001000000000000000000000001100010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000100100000000000000000000001000000000000000000000100000000000000000000000000000000000000000000000000000000000100000000000000000000000000000001000000000000000000000000000000000000000000000110000001000000000000000000000000000000000000000010000000000000000000000000000000000100000000000000000000000000000000000110000000000001000000100000000000000100010000000000000100011000000000000000000100000000000010000001000000000000000000000000000000000000000000000000010000000000100000000000000000000000100100000000000000000000000000000000000000000000000010000000100000000010010000000100000000000000000000000000000000000100000000000100000000000000000000000000000000000000010000001000000000000000000000000000000000"
0.0016,"Cc1nc(N)nc2c1cc(-c1ccc3cc[nH]c3n1)c(=O)n2[C@H]1CC[C@@H](O)CC1","0100100000100000000000000000000000000000000100110000000000000000001000000000000000000000100000000100000000100000000000000000100000100000010000000000100000000000000000000000001000000000000000001000000000000000000000001100010000000000000000000000000000000000000000000000000000000000000000000000000001000000000000001000000000000100000000000000000000000001000000000000000000000100000000000000000000000000100000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000100100000000000000000000000000000000000000000000010000000000000000000000010000000000000000000000000000001000000000000000000000100010000000000000100001000000000000000000100000000000010000000000010000000000000001000000000000000000000000000010000000000100000000000000001000000000100100000000000000000000000000000000000000000000000000000101000000010000000000100000000000000000000000000000000000101000000000000000000000000000000000000000000000000010000001000000000000000000000000000000010"
0.0016,"COc1ncc(-c2cc3c(C)nc(N)nc3n([C@H]3CC[C@H](OC)CC3)c2=O)cc1F","0100100000100000000001000000000000000000000000010000000000000000000000000000000000000010100000000100000000000000000000010000000000100000010000000000100000000000000000000000001000001010000000001000000000000101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100100000000000000000000001000000000000000000000100000000000000000000000010000000000000000000000000000000000000000000000000001000000000010000000000000000000000000000000000000000000000000110000001000000000000000000000000000000000000000010000000000000000000000000000010000100000000000000000010000000100000000000000000000001000000000000000000000100010000000000000100001000000000000000000100000000000010000000000010000000000000000000000000000000000000000000010000000000000000000000000001010000100100000000000000000000000000000000000000000000000000000000101000000010010000000000000000100000000000000000000000000100000001000000000000000000000000000000000000000000010000011000000000000000000000000000000000"
0.0016,"CNc1nc(C)c2cc(-c3cnc4[nH]ccc4c3)c(=O)n(CC3CCOC3)c2n1","0000100000000000000000000000000000000000000000110000000000000000000000000100000000000000100000000100000000000100010100000000100001000000000000000000100000000000000000000000001000001000000000001000000000000000000000000100010000000000000000000000000000000000000000000000000000000000000000000000000001000000000100001000000000000100000000000000000000000001000000000000000100000100000000000000000000000000000000000000000000000000000000100000000000100000000000000000000011000000000000000000000000000000000010000000000010000001100000000000000000000100100001000000000010000000000000000000000000000000001100000100000000000000010000000000000000000000000001000000000000000000000100010000000000000000001000000000000000000100000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100001000000000001000000000001000000000000000000000010000000100000000000010000000100000000000000000000000000000000000101100000000100000000000000000000000000000000000000010000001000100000000000000000000010000010"
0.0017,"COc1ncc(-c2cc3c(C)nc(N)nc3n(C3CCCC3)c2=O)cc1F","0100100000100000000000000000000000000000000000010000001000000000000000000000000000000000100000000100000000000000000000010000000000100100010000000000100000000000000000000000001000001010000000001000000000000101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100100000000000000000000001000000000000000000000100000000000000000000000010000000000000000000000000000000000000000000000000001000000000010000000000000000000000000000000000000000000000000110000001000000000000000000000000000000000000000010000000000000000000000000000010000100000000000000000010000000100000000000000000000001000000000000000000000100010000000000000000001000000000000000000100000000000010000000000010000000000000000000000000000000000000000000010000000000000000000000000001000000100100000000000000000000000000000000000000000000000000000000101000000010010000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000010000011000000000000000000000000000010000"
0.00177,"CCNc1nc(C)c2cc(-c3cnc4[nH]ccc4c3)c(=O)n(C3CCCC3)c2n1","0100100000100000000000000000000001000000000000110000001000000000000000000000000000000010100000000100000000000000010000000000000001000100010000000000100000000000000000000000001000001000000000001000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000001000000001000100000000000000000000000001000000000000000000000100000000000000000000000000000000000000000000000000000000100000000000000000000000000000000001000000000000000000000000000000000000000000000010000001100000000000000000000100100000000000000010000000000000000000000000000000000100000000000000000000000000000000000100000000000001000000000000000000000100010000000000000000011000000000000000000100000000000010000001000000000000000000000000000000000000000000000000010000000000000000000000000000000000100101000000000000000000000000000000000000000000000000000000100000000010010000000100000000000000000000000000000000000101000000000100000000000000000000000000000000000000010000001000000000000000000000000010010000"
0.0018,"CNc1nc(C)c2cc(-c3ccc(OC)nc3)c(=O)n([C@H]3CC[C@H](O)CC3)c2n1","0100100000100000000000000010000000000000100000010000000000000000000000000000000000000000100000000100000000000000010000000000000101000000010000000000100000000000000000000000001000000010000000001000000000000000000000001100010000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000100100000000000000000000001000000000000000000000100000000000000000000000000000000000000000000000000000000000100000000000000000000000000000001000000000001000000000000000000000000000000000110000001000000000100000000000000000001000000000010000000000000000000000000000000001100000000000000000000010000000000000000000000000001000000000000000000000100010000000000000100001000000000000000000100100000000010000000000000000000000000000000000000000000000000000000010000000000100000000000000000000000100100000000000000000000000000000000000000000000000010000000100000000010010000000100000000000000000000000000000000000100000000000000000000000000000000000000000000000000010000001000000000000000000000000000000000"
